CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2023-02-11 23:14:18.7890249,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\26310719480\tinytile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\26310719480\tinytile.png,1627,153643EA1F34596B3D0B3E046A8CFF650ACCC442,False,2023-02-06 01:55:04.0338627,2023-02-06 01:55:04.0338627,2023-02-11 23:00:27.0815553,00:00:00.0625048
2023-02-11 23:14:18.9300323,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\38975140460\squaretile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\38975140460\squaretile.png,2401,CBC23B1FC93D48B39FC7EEF2120EEF5322BE77FC,False,2023-02-06 01:55:04.0838750,2023-02-06 01:55:04.0838750,2023-02-06 01:55:04.0838750,00:00:00.0625203
2023-02-11 23:14:19.0545674,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\38975140460\tinytile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\38975140460\tinytile.png,1577,89889C4539E09A2222E052C2621BAC798124F359,False,2023-02-06 01:55:04.0838750,2023-02-06 01:55:04.0838750,2023-02-11 23:00:27.1910769,00:00:00.0935250
2023-02-11 23:14:19.1956122,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\6501008900\squaretile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\6501008900\squaretile.png,1553,DD661C8D187BC46C8A041CD4678D361C73BB3AF8,False,2023-02-06 01:55:04.1593889,2023-02-06 01:55:04.1593889,2023-02-06 01:55:04.1593889,00:00:00.0625161
2023-02-11 23:14:19.2896291,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\6501008900\tinytile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\6501008900\tinytile.png,1113,DC5EC8A905CBBDC099E87D112D410D5B4AB8AB16,False,2023-02-06 01:55:04.1593889,2023-02-06 01:55:04.1593889,2023-02-11 23:00:27.0505526,00:00:00.0625029
2023-02-11 23:14:19.4296373,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\7603651830\squaretile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\7603651830\squaretile.png,1449,E69A8BEB3822ED54E4C727F645B46861D741F4AD,False,2023-02-06 01:55:03.9399627,2023-02-06 01:55:03.9399627,2023-02-06 01:55:03.9399627,00:00:00.0619996
2023-02-11 23:14:19.5086536,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\7603651830\tinytile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\7603651830\tinytile.png,1060,C4C48D9663ED344BC940F9614401D2FE6D1BCAE7,False,2023-02-06 01:55:03.9568476,2023-02-06 01:55:03.9568476,2023-02-11 23:00:27.2225856,00:00:00.0624972
2023-02-11 23:14:19.7576882,C:\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Bookmarks,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Bookmarks,1784,BC857B74E37A1B3C1994D26A802728E5BDE0247F,False,2023-02-06 01:56:50.4223663,2023-02-06 01:56:50.4268701,2023-02-11 23:05:16.5458309,00:00:00.0470052
2023-02-11 23:14:19.9297241,C:\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Sessions\Session_13320630701772105,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Sessions\Session_13320630701772105,104816,CD50A4BEF234A0AF7AC9E6D4A32E9DBFB09DBA71,False,2023-02-11 23:11:41.7722307,2023-02-11 23:12:23.2864502,2023-02-11 23:12:23.2864502,00:00:00.0785096
2023-02-11 23:14:20.0392434,C:\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Sessions\Tabs_13320630319397350,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Sessions\Tabs_13320630319397350,208281,0C9E0D761B969BED5DEC7B211EA5CB44DB763595,False,2023-02-11 23:05:19.3973803,2023-02-11 23:12:23.3649713,2023-02-11 23:12:23.3649713,00:00:00.0780128
2023-02-11 23:14:20.1952064,C:\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Preferences,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Edge\User Data\Default\Preferences,394439,2FB13E698C4D7168B58423F277BD848E93C3F460,False,2023-02-06 01:56:11.9802058,2023-02-11 23:27:12.8968172,2023-02-11 23:27:12.8968172,00:00:00.1090114
2023-02-11 23:14:20.3832992,C:\Users\gunna\AppData\Local\Microsoft\Internet Explorer\brndlog.txt,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Internet Explorer\brndlog.txt,6495,085C67AD8767FB18014D8F4176CC495458AC124C,False,2023-02-06 01:54:57.2221797,2023-02-06 01:54:57.4869518,2023-02-06 01:54:57.4869518,00:00:00.0635011
2023-02-11 23:14:20.4768157,C:\Users\gunna\AppData\Local\Microsoft\Internet Explorer\ie4uinit-ClearIconCache.log,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Internet Explorer\ie4uinit-ClearIconCache.log,938,C001C1AD26508772F451FFC426C4EEE55599769B,False,2023-02-06 01:54:57.1590757,2023-02-06 01:55:02.6591369,2023-02-06 01:55:02.6591369,00:00:00.0775149
